DATE;Bahía Blanca ‐ Cerri;Cdro. Rivadavia – Rada Tilly;Ciudad de Buenos Aires;Concordia;Corrientes;Formosa;Gran Catamarca;Gran Córdoba;Gran La Plata;Gran Mendoza;Gran Paraná;Gran Resistencia;Gran Rosario;Gran San Juan;Gran Santa Fé;Gran Tucumán ‐ T. Viejo;Jujuy ‐ Palpalá;La Rioja;Mar del Plata ‐ Batán;Neuquén – Plottier;Partidos del GBA;Posadas;Rawson – Trelew;Río Cuarto;Río Gallegos;S.del Estero ‐ La Banda;Salta;San Luis ‐ El Chorrillo;San Nicolás – Villa Constitución;Santa Rosa ‐ Toay;Ushuaia ‐ Río Grande;Viedma – Carmen de Patagones
2008-10-01;3.6511156186612577;7.44920993227991;7.000000000000001;9.652509652509652;13.221601489757914;10.833333333333334;15.492957746478872;11.214953271028037;4.703476482617587;9.146341463414634;7.6923076923076925;16.533864541832667;9.090909090909092;8.72210953346856;7.567567567567568;21.6255442670537;18.421052631578945;15.513626834381553;7.8;7.971014492753622;10.91188524590164;16.017316017316016;7.317073170731707;7.575757575757576;8.227848101265822;15.92741935483871;18.702290076335878;9.859154929577464;8.041237113402062;10.173160173160174;10.337078651685392;10.154525386313466
2009-01-01;7.017543859649122;9.282700421940929;8.010012515644556;12.3046875;11.50943396226415;12.190082644628099;15.879828326180256;10.013175230566535;6.666666666666667;9.789156626506024;7.775377969762419;16.116504854368934;9.884467265725288;8.55397148676171;6.043956043956044;22.98507462686567;19.308943089430894;13.911290322580644;6.436781609195402;10.714285714285714;11.037301992846194;17.419354838709676;9.82905982905983;6.935123042505594;11.135371179039302;12.5;17.159763313609467;9.533468559837727;7.341269841269842;10.351966873706004;10.679611650485436;9.111617312072893
2009-04-01;7.009345794392523;8.70488322717622;7.615480649188515;13.360323886639677;13.142857142857142;15.184381778741866;13.793103448275861;9.226594301221166;7.7433628318584065;10.495626822157435;7.643312101910828;18.09338521400778;7.255936675461741;8.280254777070063;6.177606177606178;22.239031770045386;18.31275720164609;13.690476190476192;5.089058524173027;6.976744186046512;10.05050505050505;15.077605321507761;10.851063829787234;7.838983050847458;13.232104121475055;10.970464135021098;20.545454545454543;9.819639278557114;6.58682634730539;12.526997840172784;8.352668213457076;7.962529274004685
2009-07-01;11.6600790513834;14.41048034934498;9.057971014492754;19.879518072289155;19.379844961240313;16.736401673640167;20.0836820083682;14.56953642384106;7.613168724279835;14.449213161659513;14.516129032258066;19.379844961240313;14.138817480719796;12.603305785123966;8.155339805825243;29.376854599406528;21.971252566735114;22.55489021956088;11.313131313131313;12.740384615384615;14.59660297239915;16.363636363636363;17.391304347826086;11.711711711711711;21.205821205821206;17.49460043196544;27.05223880597015;13.163064833005894;12.03155818540434;16.48590021691974;13.901345291479823;13.921113689095128
2009-10-01;10.860655737704917;14.317673378076062;8.300395256916996;19.92110453648915;18.5546875;13.276231263383298;17.584745762711865;11.812080536912752;8.8659793814433;11.377245508982035;13.008130081300814;16.334661354581673;11.497326203208557;12.606837606837606;8.11320754716981;27.934621099554235;21.030927835051546;23.471400394477318;9.68421052631579;13.930348258706468;14.065934065934066;17.105263157894736;15.833333333333332;10.10989010989011;17.894736842105264;17.307692307692307;22.033898305084744;12.298387096774194;11.44578313253012;16.252821670428894;15.492957746478872;18.501170960187356
2010-01-01;9.6579476861167;14.623655913978496;9.383378016085791;19.921875;19.721115537848604;14.285714285714285;19.873150105708245;16.288384512683578;10.438413361169102;12.371134020618557;12.200435729847495;18.930041152263374;10.714285714285714;12.236286919831224;10.546875;29.923664122137406;22.00854700854701;20.98765432098765;9.2;15.441176470588236;14.905450500556173;16.210526315789473;18.907563025210084;12.387387387387387;19.825708061002178;14.529914529914532;20.229007633587788;11.451942740286299;11.63895486935867;12.614678899082568;14.775725593667547;19.212962962962962
2010-04-01;10.139165009940358;16.143497757847534;8.311345646437996;18.787878787878785;19.02912621359223;19.230769230769234;22.5531914893617;15.977961432506888;11.134453781512606;12.686567164179104;12.525667351129362;20.080321285140563;11.306532663316583;12.943632567849686;10.687022900763358;31.28834355828221;23.024830699774267;18.859649122807017;10.159362549800797;13.986013986013987;14.332247557003258;16.95278969957082;17.755102040816325;13.043478260869565;18.004338394793926;16.101694915254235;20.833333333333336;11.22244488977956;13.026052104208416;10.430839002267573;15.121951219512194;14.19068736141907
2010-07-01;10.772357723577237;15.164835164835164;8.88888888888889;19.46564885496183;17.537313432835823;16.210526315789473;18.503118503118504;13.865546218487395;6.748466257668712;10.782865583456426;13.535353535353536;21.011673151750973;11.34020618556701;12.31732776617954;11.153119092627598;32.74596182085169;19.017094017094017;19.654427645788335;10.453648915187378;12.410501193317423;14.474379292128898;19.383259911894275;15.714285714285714;11.643835616438356;14.529914529914532;18.240343347639485;23.392857142857142;11.066398390342053;11.991869918699187;13.908872901678656;12.873563218390805;13.968957871396896
2010-10-01;9.44558521560575;15.889830508474576;7.904642409033877;18.23308270676692;18.75;12.035010940919037;16.122004357298476;12.591508052708638;6.952965235173824;11.11111111111111;13.238289205702646;19.157894736842103;12.880886426592797;14.760914760914762;12.840466926070038;29.910714285714285;15.899581589958158;21.318681318681318;7.003891050583658;17.733990147783253;12.8624143384291;19.522776572668114;16.176470588235293;10.189573459715639;14.829659318637276;16.379310344827587;23.04964539007092;10.297029702970297;10.75268817204301;12.412177985948478;10.955710955710956;15.277777777777779
2011-01-01;10.195227765726681;16.39344262295082;9.523809523809524;21.24756335282651;20.809248554913296;11.904761904761903;20.934959349593495;12.743628185907047;8.020050125313283;13.343108504398826;16.49484536082474;19.66873706004141;9.785522788203753;15.732758620689655;11.478599221789883;25.49618320610687;17.20430107526882;21.841541755888652;5.649717514124294;14.93975903614458;12.846481876332621;15.010570824524313;15.368852459016393;12.195121951219512;17.796610169491526;16.19870410367171;22.12230215827338;10.685483870967742;10.669456066945607;12.590799031477;11.082474226804123;16.55011655011655
2011-04-01;9.486166007905137;16.34146341463415;7.897934386391252;20.342205323193916;20.772058823529413;13.596491228070176;23.586744639376217;15.251798561151078;10.460251046025103;13.293943870014772;17.180616740088105;18.52589641434263;10.16949152542373;13.852813852813853;9.746588693957115;29.6969696969697;22.608695652173914;18.790496760259177;8.935361216730039;13.349514563106796;12.872841444270017;14.736842105263156;16.700201207243463;13.636363636363635;17.782426778242677;18.442622950819672;22.820037105751393;13.0;9.145129224652088;14.87964989059081;11.36890951276102;13.333333333333334
2011-07-01;10.714285714285714;17.135549872122763;8.34371108343711;17.391304347826086;15.789473684210526;15.894039735099339;20.366598778004075;13.196480938416421;10.196078431372548;12.917271407837447;14.1280353200883;19.75051975051975;11.671087533156498;14.479638009049776;10.836501901140684;29.96987951807229;20.16632016632017;17.410714285714285;10.961538461538462;14.427860696517413;13.022246337493218;19.560439560439562;15.631262525050099;11.538461538461538;14.345114345114347;18.200836820083683;21.335807050092765;13.37448559670782;10.256410256410255;13.626373626373626;12.619047619047619;12.666666666666668
2011-10-01;11.066398390342053;16.030534351145036;8.933002481389577;20.198019801980198;15.53398058252427;13.073394495412844;18.864097363083165;12.4822695035461;8.143939393939394;13.411078717201166;13.291139240506327;17.23404255319149;12.945838837516513;12.995594713656388;11.610486891385769;26.89873417721519;18.295218295218298;16.590909090909093;7.088122605363985;16.584158415841586;12.99254526091587;19.00647948164147;13.608247422680412;11.510791366906476;12.101910828025478;16.515837104072396;18.297101449275363;15.690376569037657;9.401709401709402;15.207373271889402;10.83743842364532;14.565217391304348
